window_id;n_likes;n_comments;window_name;window_card_image;window_badge_color;window_description;window_average_price;window_last_visit;window_high_light_1;window_high_light_2;window_high_light_3;image_list;carousel_interval;window_category;window_product_type;window_comments
19;57;5;teste_19;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_19;122;30;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;2;"jhvbehj  bdwhb    kjhwd;| kjhd  kjndj  37298s jn{{}"
20;58;5;teste_20;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_20;128;31;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;3;dnwj*jndwjn* * | lkdnwln  kwjdnkwj  ,,..kin s-nsjs |
21;58;5;teste_21;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_21;135;32;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;2;dddd|aaa|kkk
22;59;5;teste_22;https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg;black;teste_22;141;33;Entrega em até 5 dias úteis!;Promoção especial para dia das mães!;Produtos 100% veganos!;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;3;aaaaa|bbbbb|ccccc
23;59;5;teste_23;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_23;148;34;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;1;dddd|aaa|kkk
24;60;5;teste_24;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_24;154;35;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;c;3;"a,jdhdlj;[ndkn876|kjhdwkjhd|"
25;60;5;teste_25;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_25;160;36;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;2;aandekjh746|dbekhdb849
26;61;5;teste_26;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_26;167;37;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;1;"jhvbehj  bdwhb    kjhwd;| kjhd  kjndj  37298s jn{{}"
27;61;5;teste_27;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_27;173;38;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;-7;dnwj*jndwjn* * | lkdnwln  kwjdnkwj  ,,..kin s-nsjs |
28;62;5;teste_28;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_28;180;39;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;-7,5;dddd|aaa|kkk
29;62;5;teste_29;https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg;black;teste_29;186;40;Entrega em até 5 dias úteis!;Promoção especial para dia das mães!;Produtos 100% veganos!;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;-8;aaaaa|bbbbb|ccccc
30;63;5;teste_30;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_30;193;41;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;-8,5;dddd|aaa|kkk
31;63;5;teste_31;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_31;199;42;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;c;-9;"a,jdhdlj;[ndkn876|kjhdwkjhd|"
32;64;5;teste_32;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_32;205;43;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;-9,5;aandekjh746|dbekhdb850
33;64;5;teste_33;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_33;212;44;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;-10;"jhvbehj  bdwhb    kjhwd;| kjhd  kjndj  37298s jn{{}"
34;65;5;teste_34;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_34;218;45;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;-10,5;dnwj*jndwjn* * | lkdnwln  kwjdnkwj  ,,..kin s-nsjs |
35;65;5;teste_35;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_35;225;46;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;-11;dddd|aaa|kkk
36;66;5;teste_36;https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg;black;teste_36;231;47;Entrega em até 5 dias úteis!;Promoção especial para dia das mães!;Produtos 100% veganos!;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;-11,5;aaaaa|bbbbb|ccccc
37;66;5;teste_37;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_37;238;48;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;-12;dddd|aaa|kkk
38;67;5;teste_38;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_38;244;49;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;c;-12,5;"a,jdhdlj;[ndkn876|kjhdwkjhd|"
39;67;5;teste_39;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_39;250;50;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;-13;aandekjh746|dbekhdb851
40;68;5;teste_40;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_40;257;51;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;-13,5;"jhvbehj  bdwhb    kjhwd;| kjhd  kjndj  37298s jn{{}"
41;68;5;teste_41;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_41;263;52;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;-14;dnwj*jndwjn* * | lkdnwln  kwjdnkwj  ,,..kin s-nsjs |
42;69;5;teste_42;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_42;270;53;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;-14,5;dddd|aaa|kkk
43;69;5;teste_43;https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg;black;teste_43;276;54;Entrega em até 5 dias úteis!;Promoção especial para dia das mães!;Produtos 100% veganos!;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;-15;aaaaa|bbbbb|ccccc
44;70;5;teste_44;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_44;283;55;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;-15,5;dddd|aaa|kkk
45;70;5;teste_45;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_45;289;56;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;c;-16;"a,jdhdlj;[ndkn876|kjhdwkjhd|"
46;71;5;teste_46;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_46;295;57;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;-16,5;aandekjh746|dbekhdb852
47;71;5;teste_47;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_47;302;58;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;-17;"jhvbehj  bdwhb    kjhwd;| kjhd  kjndj  37298s jn{{}"
48;72;5;teste_48;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_48;308;59;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;-17,5;dnwj*jndwjn* * | lkdnwln  kwjdnkwj  ,,..kin s-nsjs |
49;72;5;teste_49;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_49;315;60;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;-18;dddd|aaa|kkk
50;73;5;teste_50;https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg;black;teste_50;321;61;Entrega em até 5 dias úteis!;Promoção especial para dia das mães!;Produtos 100% veganos!;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;-18,5;aaaaa|bbbbb|ccccc
51;73;5;teste_51;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_51;328;62;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;-19;dddd|aaa|kkk
52;74;5;teste_52;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_52;334;63;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;c;-19,5;"a,jdhdlj;[ndkn876|kjhdwkjhd|"
53;74;5;teste_53;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_53;340;64;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;-20;aandekjh746|dbekhdb853
54;75;5;teste_54;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_54;347;65;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;-20,5;"jhvbehj  bdwhb    kjhwd;| kjhd  kjndj  37298s jn{{}"
55;75;5;teste_55;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_55;353;66;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;-21;dnwj*jndwjn* * | lkdnwln  kwjdnkwj  ,,..kin s-nsjs |
56;76;5;teste_56;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_56;360;67;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;-21,5;dddd|aaa|kkk
57;76;5;teste_57;https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg;black;teste_57;366;68;Entrega em até 5 dias úteis!;Promoção especial para dia das mães!;Produtos 100% veganos!;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;-22;aaaaa|bbbbb|ccccc
58;77;5;teste_58;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_58;373;69;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;-22,5;dddd|aaa|kkk
59;77;5;teste_59;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_59;379;70;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;c;-23;"a,jdhdlj;[ndkn876|kjhdwkjhd|"
60;78;5;teste_60;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_60;385;71;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;-23,5;aandekjh746|dbekhdb854
61;78;5;teste_61;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_61;392;72;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;-24;"jhvbehj  bdwhb    kjhwd;| kjhd  kjndj  37298s jn{{}"
62;79;5;teste_62;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_62;398;73;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;-24,5;dnwj*jndwjn* * | lkdnwln  kwjdnkwj  ,,..kin s-nsjs |
63;79;5;teste_63;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_63;405;74;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;-25;dddd|aaa|kkk
64;80;5;teste_64;https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg;black;teste_64;411;75;Entrega em até 5 dias úteis!;Promoção especial para dia das mães!;Produtos 100% veganos!;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;-25,5;aaaaa|bbbbb|ccccc
65;80;5;teste_65;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_65;418;76;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;-26;dddd|aaa|kkk
66;81;5;teste_66;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_66;424;77;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;c;-26,5;"a,jdhdlj;[ndkn876|kjhdwkjhd|"
67;81;5;teste_67;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_67;430;78;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;-27;aandekjh746|dbekhdb855
68;82;5;teste_68;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_68;437;79;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;a;-27,5;"jhvbehj  bdwhb    kjhwd;| kjhd  kjndj  37298s jn{{}"
69;82;5;teste_69;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_69;443;80;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;b;-28;dnwj*jndwjn* * | lkdnwln  kwjdnkwj  ,,..kin s-nsjs |
70;83;5;teste_70;https://http2.mlstatic.com/D_664890-MLA49013861872_022022-P.jpg;black;teste_70;450;81;teste_h1;teste_h2;teste_h3;[https://images-americanas.b2w.io/produtos/01/00/img/1614132/3/1614132374_2SZ.jpg, https://m.media-amazon.com/images/I/41+TZDoblPL._AC_SY1000_.jpg];150;d;-28,5;dddd|aaa|kkk
